Parcel APN;NR_GH-Plants;NR_OD-Plants;Dist_to_grow_m;Km Priv. Road;Km Local Road;Mean elevation;PublicLand_YN;Prop_in_THP
21011717;0;0;0;1.783560799;0;1498.777778;0;0
21011716;0;0;0;1.298434411;0;1495.48;0;0
21011727;113;31;50;0.404122715;0;1490.785714;0;0
21011722;110;128;180;0;0;1488.166667;0;0
21011712;0;0;0;0.663055306;0;1470.6;1;0
21011711;0;0;0;1.872372777;0;1468.944444;1;0
21011714;0;79;740;0;0;1458.357143;1;0
21011715;0;0;0;0;0;1457.965517;0;0
21011718;0;0;0;2.085284528;0;1453.847059;0;0
21011713;0;0;0;0;0;1451.15625;1;0
21011728;0;0;0;1.169332921;0;1450.514286;1;0
21011726;206;95;30;0;0;1445.9;0;0
21014206;0;0;0;2.954629755;0;1440.294118;0;0
21011706;0;0;0;0;0;1434.933333;1;0
21014205;394;35;70;0;0;1418.855556;0;0
21016411;0;0;0;1.366434611;0;1396.137931;1;0
21011705;0;0;0;0.875170884;0;1395.433333;0;0
21011725;0;0;0;0;0;1393.962963;0;0
21016408;14;0;10;1.791431286;0;1392.64;0;0
21016410;0;0;0;0;0;1386.633333;1;0
21011721;0;0;0;0;0.169197938;1383.064516;1;0
21014106;0;0;0;0;0;1381.166667;0;0
21016303;164;0;10;1.487514703;0;1379.76;0;0
21011731;0;0;0;0;1.004627251;1368.735294;1;0
21016409;626;0;40;0;0;1363.92;0;0
21016403;79;0;460;1.742602088;0;1360.284946;1;0
21011732;0;0;0;0.67237885;1.673756232;1360.264706;1;0
21011707;0;0;0;0;0;1358.2;1;0
21011724;0;34;120;0;0;1354.851852;0;0
21014208;0;0;0;3.183941996;0;1352.655556;0;0
21014207;0;0;0;0;0;1351.556962;0;0
21016506;0;0;0;0;0;1348.793103;0;0
21016404;0;0;0;1.370786626;0;1346.142857;0;0
21014102;0;0;0;0;0;1331.48;0;0
21011701;0;0;0;0;12.27585087;1330.447084;1;0
21016318;346;0;20;0;0;1323.2;0;0
21016304;0;0;0;0;0;1322.9;0;0
21016316;0;125;260;1.494978252;0;1319.96;0;0
21011729;0;0;0;0;0;1318.59375;1;0
21011710;0;0;0;0;6.525483122;1318.559028;1;0
21014113;0;19;40;0;0;1314.25;0;0
21011723;0;0;0;0;0.215750641;1308.689655;0;0
21016502;0;0;0;0;0;1306.209945;1;0
21016505;259;0;180;0;0;1306.146667;1;0
21014107;219;0;270;0;0;1302.866667;0;0
20824131;0;0;0;0;0;1297.294118;1;0
20824129;0;0;0;0;1.519939004;1284.642857;0;0
21016317;0;0;0;0;0;1282.75;0;0
21016405;0;0;0;0;0;1282.4;0;0
21024117;0;0;0;0;1.159254141;1279.88;0;0
21014412;336;114;130;0.972387876;0;1277.24;0;0
21024119;0;0;0;0;0.708276141;1274.933333;0;0
21014112;0;86;20;0;0;1274.24;0;0
21014308;0;0;0;0.025379324;0;1272.62;0;0
21014306;0;0;0;2.014975089;0;1272.3;0;0
21014114;0;0;0;0;0;1272.096774;0;0
21011703;0;0;0;1.73218672;1.159397067;1269.830189;1;0.00932212
